Tutor Name, Hours a week
Tutor 404,6.5
Tutor 84,7
Tutor 336,7
Tutor 398,7.5
Tutor 417,7
Tutor 234,7
Tutor 156,6.5
Tutor 231,7
Tutor 129,7
Tutor 129,7.5
Tutor 259,7.5
Tutor 383,7
Tutor 379,7
Tutor 288,7
Tutor 131,7
Tutor 313,7
Tutor 136,6.5
Tutor 246,7
Tutor 402,7
Tutor 410,7
Tutor 370,7
Tutor 252,7.5
Tutor 67,7
Tutor 187,7
Tutor 169,7
Tutor 266,6.5
Tutor 257,7
Tutor 3,7
Tutor 290,7
Tutor 158,6.5
Tutor 382,7
Tutor 384,7
Tutor 396,7
Tutor 403,6.5
Tutor 411,7
Tutor 279,7
Tutor 371,7
Tutor 397,7.5
Tutor 59,6.5
Tutor 63,7.5
Tutor 179,6.5
Tutor 352,7
Tutor 372,7
Tutor 240,7
Tutor 190,6.5
Tutor 217,7
Tutor 400,7.5
Tutor 321,7
Tutor 273,7
Tutor 145,7
Tutor 207,7
Tutor 373,7.5
Tutor 23,6.5
Tutor 305,6.5
Tutor 237,7
Tutor 311,7.5
Tutor 193,7
Tutor 338,7
Tutor 93,7.5
Tutor 65,7
Tutor 106,7
Tutor 265,7
Tutor 126,7
Tutor 408,7
Tutor 415,7
Tutor 216,7
Tutor 102,6.5
Tutor 328,6.5
Tutor 150,6.5
Tutor 75,7
Tutor 392,7.5
Tutor 153,7
Tutor 219,7
Tutor 5,7
Tutor 226,7
Tutor 337,6.5
Tutor 206,7
Tutor 33,7
Tutor 171,6.5
Tutor 387,7
Tutor 183,7
Tutor 182,7.5
Tutor 189,7
Tutor 412,7
Tutor 317,6.5
Tutor 116,6.5
Tutor 40,6.5
Tutor 258,7
Tutor 236,7.5
Tutor 348,7
Tutor 271,7
Tutor 43,7
Tutor 355,7
Tutor 355,7
Tutor 385,7
Tutor 375,7
Tutor 26,7
Tutor 42,6.5
Tutor 395,7
Tutor 405,7
Tutor 56,6.5
Tutor 56,7
Tutor 57,7
Tutor 109,7
Tutor 401,6.5
Tutor 394,7
Tutor 393,7
Tutor 289,7
Tutor 374,7
